MoleculeIdx,ProtonatedIdx,ReferenceSmiles,ProtonatedSmiles,NeutralEnergy,ProtonatedEnergy
71,0,CC(N)CC(C)F,CC([NH3+])CC(C)F,-74.30213,-47.35824
72,0,CC(N)CC(F)F,CC([NH3+])CC(F)F,-118.78498,-93.8954
73,0,CC(C)NC(C)C,CC(C)[NH2+]C(C)C,-34.23281,-19.25012
74,0,CC(C)CN(C)C,CC(C)C[NH+](C)C,-28.00701,-7.91481
75,0,CC(N)CN(C)C,CC([NH3+])CN(C)C,-19.73887,7.41131
75,1,CC(N)CN(C)C,CC(N)C[NH+](C)C,-19.73887,2.0046
76,0,CC(O)CN(C)C,CC(O)C[NH+](C)C,-66.29821,-43.70604
77,0,CC(F)CN(C)C,CC(F)C[NH+](C)C,-66.53825,-33.22863
78,0,CN(C)CC(F)F,C[NH+](C)CC(F)F,-112.90526,-80.31444
79,0,CC(C)CC(N)=N,CC(C)CC(=N)[NH3+],-14.92407,-3.68431
79,1,CC(C)CC(N)=N,CC(C)CC(N)=[NH2+],-14.92407,-15.55981
80,0,CC(C)CC(N)=O,CC(C)CC([NH3+])=O,-71.65346,-56.50573
81,0,CC(N)CC(C)=C,C=C(C)CC(C)[NH3+],-10.43258,16.69695
82,0,CC(N)CC(N)=N,CC([NH3+])CC(=N)N,-4.86396,26.7372
82,1,CC(N)CC(N)=N,CC(N)CC(=N)[NH3+],-4.86396,8.23454
82,2,CC(N)CC(N)=N,CC(N)CC(N)=[NH2+],-4.86396,-2.72757
83,0,CC(N)CC(N)=O,CC([NH3+])CC(N)=O,-62.29647,-38.42964
83,1,CC(N)CC(N)=O,CC(N)CC([NH3+])=O,-62.29647,-48.1223
84,0,CC(N)CC(O)=O,CC([NH3+])CC(=O)O,-116.07647,-88.26338
85,0,CC(N)CC(F)=C,C=C(F)CC(C)[NH3+],-45.23246,-18.6033
86,0,CC(O)CC(N)=N,CC(O)CC(=N)[NH3+],-50.70725,-40.29352
86,1,CC(O)CC(N)=N,CC(O)CC(N)=[NH2+],-50.70725,-50.67096
87,0,CC(O)CC(N)=O,CC(O)CC([NH3+])=O,-109.93161,-93.54442
88,0,CC(F)CC(N)=N,CC(F)CC(=N)[NH3+],-52.11378,-42.18881
88,1,CC(F)CC(N)=N,CC(F)CC(N)=[NH2+],-52.11378,-53.57105
89,0,CC(F)CC(N)=O,CC(F)CC([NH3+])=O,-109.66751,-95.09391
90,0,NC(=N)CC(F)F,N=C([NH3+])CC(F)F,-97.15324,-87.93056
90,1,NC(=N)CC(F)F,NC(=[NH2+])CC(F)F,-97.15324,-99.55933
91,0,NC(=O)CC(F)F,[NH3+]C(=O)CC(F)F,-155.90011,-139.46496
92,0,CC(C)NC(C)=N,CC(=N)[NH2+]C(C)C,-12.33713,7.95836
92,1,CC(C)NC(C)=N,CC(=[NH2+])NC(C)C,-12.33713,-13.88227
93,0,CC(C)NC(C)=O,CC(=O)[NH2+]C(C)C,-69.61251,-46.08224
94,0,CC(C)NC(N)=N,CC(C)[NH2+]C(=N)N,-7.35641,15.5871
94,1,CC(C)NC(N)=N,CC(C)NC(=N)[NH3+],-7.35641,9.10786
94,2,CC(C)NC(N)=N,CC(C)NC(N)=[NH2+],-7.35641,-5.31313
95,0,CC(C)NC(N)=O,CC(C)[NH2+]C(N)=O,-67.17649,-43.45072
95,1,CC(C)NC(N)=O,CC(C)NC([NH3+])=O,-67.17649,-51.49331
96,0,CC(C)OC(N)=N,CC(C)OC(=N)[NH3+],-42.85378,-29.51375
96,1,CC(C)OC(N)=N,CC(C)OC(N)=[NH2+],-42.85378,-43.5679
97,0,CC(C)OC(N)=O,CC(C)OC([NH3+])=O,-106.25978,-90.54409
98,0,CN(C)CC(C)=C,C=C(C)C[NH+](C)C,-1.66286,11.38196
99,0,CN(C)CC(C)=O,CC(=O)C[NH+](C)C,-55.04175,-28.76189
100,0,CN(C)CC(N)=N,C[NH+](C)CC(=N)N,2.38278,21.04314
100,1,CN(C)CC(N)=N,CN(C)CC(=N)[NH3+],2.38278,12.66728
100,2,CN(C)CC(N)=N,CN(C)CC(N)=[NH2+],2.38278,0.93801
101,0,CN(C)CC(N)=O,C[NH+](C)CC(N)=O,-55.97413,-25.91294
101,1,CN(C)CC(N)=O,CN(C)CC([NH3+])=O,-55.97413,-42.59904
102,0,CN(C)CC(O)=O,C[NH+](C)CC(=O)O,-106.79931,-78.19759
103,0,CN(C)CC(F)=C,C=C(F)C[NH+](C)C,-36.90056,-24.30524
104,0,CN(C)NC(C)=N,CC(=N)N[NH+](C)C,22.47704,37.24634
104,1,CN(C)NC(C)=N,CC(=N)[NH2+]N(C)C,22.47704,45.36715
104,2,CN(C)NC(C)=N,CC(=[NH2+])NN(C)C,22.47704,19.988
105,0,CN(C)NC(C)=O,CC(=O)N[NH+](C)C,-33.86082,-23.59916
105,1,CN(C)NC(C)=O,CC(=O)[NH2+]N(C)C,-33.86082,-4.66959
106,0,CN(C)NC(N)=N,C[NH+](C)NC(=N)N,27.56578,40.78445
106,1,CN(C)NC(N)=N,CN(C)[NH2+]C(=N)N,27.56578,18.68999
106,2,CN(C)NC(N)=N,CN(C)NC(=N)[NH3+],27.56578,38.02952
106,3,CN(C)NC(N)=N,CN(C)NC(N)=[NH2+],27.56578,28.92732
107,0,CN(C)NC(N)=O,C[NH+](C)NC(N)=O,-31.62485,-21.95777
107,1,CN(C)NC(N)=O,CN(C)[NH2+]C(N)=O,-31.62485,-43.68892
107,2,CN(C)NC(N)=O,CN(C)NC([NH3+])=O,-31.62485,-18.87883
108,0,CC(=C)CC(N)=N,C=C(C)CC(=N)[NH3+],11.20052,22.54393
108,1,CC(=C)CC(N)=N,C=C(C)CC(N)=[NH2+],11.20052,9.81954
109,0,CC(=C)CC(N)=O,C=C(C)CC([NH3+])=O,-46.48749,-32.77825
110,0,CC(=O)CC(N)=N,CC(=O)CC(=N)[NH3+],-39.09668,-30.12911
110,1,CC(=O)CC(N)=N,CC(=O)CC(N)=[NH2+],-39.09668,-41.72483
111,0,CC(=O)CC(N)=O,CC(=O)CC([NH3+])=O,-98.67273,-85.28074
112,0,NC(=N)CC(N)=N,N=C(N)CC(=N)[NH3+],18.89841,29.61952
112,1,NC(=N)CC(N)=N,N=C(N)CC(N)=[NH2+],18.89841,18.91819
112,2,NC(=N)CC(N)=N,N=C(N)CC(=N)[NH3+],18.89841,30.09551
112,3,NC(=N)CC(N)=N,N=C(N)CC(N)=[NH2+],18.89841,18.68431
113,0,NC(=N)CC(N)=O,N=C([NH3+])CC(N)=O,-39.40582,-30.56391
113,1,NC(=N)CC(N)=O,NC(=[NH2+])CC(N)=O,-39.40582,-41.15833
113,2,NC(=N)CC(N)=O,N=C(N)CC([NH3+])=O,-39.40582,-25.05787
114,0,NC(=N)CC(O)=O,N=C([NH3+])CC(=O)O,-92.63145,-81.05807
114,1,NC(=N)CC(O)=O,NC(=[NH2+])CC(=O)O,-92.63145,-91.82666
115,0,NC(=N)CC(F)=C,C=C(F)CC(=N)[NH3+],-24.09592,-13.1594
115,1,NC(=N)CC(F)=C,C=C(F)CC(N)=[NH2+],-24.09592,-26.26191
116,0,NC(=O)CC(N)=O,NC(=O)CC([NH3+])=O,-99.36343,-86.07009
116,1,NC(=O)CC(N)=O,NC(=O)CC([NH3+])=O,-99.36343,-85.67034
117,0,NC(=O)CC(O)=O,[NH3+]C(=O)CC(=O)O,-149.13579,-135.47092
118,0,NC(=O)CC(F)=C,C=C(F)CC([NH3+])=O,-81.72187,-69.27653
119,0,CC(=C)NC(C)=N,C=C(C)[NH2+]C(C)=N,13.81026,33.3021
119,1,CC(=C)NC(C)=N,C=C(C)NC(C)=[NH2+],13.81026,11.34866
120,0,CC(=C)NC(C)=O,C=C(C)[NH2+]C(C)=O,-43.14293,-22.19813
121,0,CC(=C)NC(N)=N,C=C(C)[NH2+]C(=N)N,19.54564,45.99131
121,1,CC(=C)NC(N)=N,C=C(C)NC(=N)[NH3+],19.54564,28.10098
121,2,CC(=C)NC(N)=N,C=C(C)NC(N)=[NH2+],19.54564,18.7763
122,0,CC(=C)NC(N)=O,C=C(C)[NH2+]C(N)=O,-40.36828,-15.20283
122,1,CC(=C)NC(N)=O,C=C(C)NC([NH3+])=O,-40.36828,-30.79708
123,0,CC(=N)NC(C)=N,CC(=N)NC(C)=[NH2+],14.08345,11.08221
123,1,CC(=N)NC(C)=N,CC(=N)[NH2+]C(C)=N,14.08345,36.0028
123,2,CC(=N)NC(C)=N,CC(=N)NC(C)=[NH2+],14.08345,11.05964
124,0,CC(=N)NC(C)=O,CC(=[NH2+])NC(C)=O,-44.95992,-47.60681
124,1,CC(=N)NC(C)=O,CC(=N)[NH2+]C(C)=O,-44.95992,-19.82508
125,0,CC(=N)NC(N)=N,CC(=[NH2+])NC(=N)N,17.55525,16.57688
125,1,CC(=N)NC(N)=N,CC(=N)[NH2+]C(=N)N,17.55525,40.86465
125,2,CC(=N)NC(N)=N,CC(=N)NC(=N)[NH3+],17.55525,28.29755
125,3,CC(=N)NC(N)=N,CC(=N)NC(N)=[NH2+],17.55525,18.13909
126,0,CC(=N)NC(N)=O,CC(=[NH2+])NC(N)=O,-42.40512,-44.91187
126,1,CC(=N)NC(N)=O,CC(=N)[NH2+]C(N)=O,-42.40512,-13.27287
126,2,CC(=N)NC(N)=O,CC(=N)NC([NH3+])=O,-42.40512,-32.46566
127,0,CC(=O)NC(C)=O,CC(=O)[NH2+]C(C)=O,-103.9544,-67.14865
128,0,CC(=O)NC(N)=N,CC(=O)[NH2+]C(=N)N,-40.62247,-13.47334
128,1,CC(=O)NC(N)=N,CC(=O)NC(=N)[NH3+],-40.62247,-29.66593
128,2,CC(=O)NC(N)=N,CC(=O)NC(N)=[NH2+],-40.62247,-41.44093
129,0,CC(=O)NC(N)=O,CC(=O)[NH2+]C(N)=O,-100.21206,-71.66706
129,1,CC(=O)NC(N)=O,CC(=O)NC([NH3+])=O,-100.21206,-89.26548
130,0,NC(=N)NC(N)=N,N=C(N)NC(=N)[NH3+],24.13727,33.92817
130,1,NC(=N)NC(N)=N,N=C(N)NC(N)=[NH2+],24.13727,23.79688
130,2,NC(=N)NC(N)=N,N=C(N)[NH2+]C(=N)N,24.13727,48.30556
130,3,NC(=N)NC(N)=N,N=C(N)NC(=N)[NH3+],24.13727,33.8266
130,4,NC(=N)NC(N)=N,N=C(N)NC(N)=[NH2+],24.13727,23.98157
131,0,NC(=N)NC(N)=O,N=C([NH3+])NC(N)=O,-38.41842,-26.91959
131,1,NC(=N)NC(N)=O,NC(=[NH2+])NC(N)=O,-38.41842,-38.80756
131,2,NC(=N)NC(N)=O,N=C(N)[NH2+]C(N)=O,-38.41842,-8.76308
131,3,NC(=N)NC(N)=O,N=C(N)NC([NH3+])=O,-38.41842,-26.95486
132,0,NC(=O)NC(N)=O,NC(=O)NC([NH3+])=O,-99.29718,-88.49348
132,1,NC(=O)NC(N)=O,NC(=O)[NH2+]C(N)=O,-99.29718,-68.38674
132,2,NC(=O)NC(N)=O,NC(=O)NC([NH3+])=O,-99.29718,-88.35669
133,0,CC(=O)OC(N)=N,CC(=O)OC(=N)[NH3+],-77.74016,-66.96461
133,1,CC(=O)OC(N)=N,CC(=O)OC(N)=[NH2+],-77.74016,-78.7582
134,0,NC(=N)OC(N)=N,N=C(N)OC(=N)[NH3+],-12.20083,0.08304
134,1,NC(=N)OC(N)=N,N=C(N)OC(N)=[NH2+],-12.20083,-13.17133
134,2,NC(=N)OC(N)=N,N=C(N)OC(=N)[NH3+],-12.20083,0.02269
134,3,NC(=N)OC(N)=N,N=C(N)OC(N)=[NH2+],-12.20083,-15.7706
135,0,NC(=N)OC(N)=O,N=C([NH3+])OC(N)=O,-74.96381,-63.59832
135,1,NC(=N)OC(N)=O,NC(=[NH2+])OC(N)=O,-74.96381,-77.62517
135,2,NC(=N)OC(N)=O,N=C(N)OC([NH3+])=O,-74.96381,-65.65858
136,0,CC(N)C=C(C)C,CC(C)=CC(C)[NH3+],-14.4569,5.53529
137,0,CC(N)C=C(C)F,CC(F)=CC(C)[NH3+],-49.90246,-30.04262
138,0,CC(N)C=C(F)F,CC([NH3+])C=C(F)F,-90.87668,-80.9769
139,0,CN(C)N=C(C)C,CC(C)=N[NH+](C)C,12.08231,31.20534
139,1,CN(C)N=C(C)C,CC(C)=[NH+]N(C)C,12.08231,16.2861
140,0,CC(N)=CC(C)=O,CC(=O)C=C(C)[NH3+],-47.08327,-45.86625
141,0,CC(=O)C=C(N)N,CC(=O)C=C(N)[NH3+],-43.05793,-39.08881
141,1,CC(=O)C=C(N)N,CC(=O)C=C(N)[NH3+],-43.05793,-38.503
142,0,CC(C)=CC(N)=N,CC(C)=CC(=N)[NH3+],6.99793,14.40131
142,1,CC(C)=CC(N)=N,CC(C)=CC(N)=[NH2+],6.99793,-0.19934
143,0,CC(N)=CC(N)=N,CC([NH3+])=CC(=N)N,11.80591,18.30048
143,1,CC(N)=CC(N)=N,CC(N)=CC(=N)[NH3+],11.80591,17.68108
143,2,CC(N)=CC(N)=N,CC(N)=CC(N)=[NH2+],11.80591,7.69946
144,0,CC(F)=CC(N)=N,CC(F)=CC(=N)[NH3+],-26.80428,-26.6049
144,1,CC(F)=CC(N)=N,CC(F)=CC(N)=[NH2+],-26.80428,-38.28244
145,0,NC(N)=CC(N)=N,N=C(N)C=C(N)[NH3+],17.49885,23.18605
145,1,NC(N)=CC(N)=N,N=C(N)C=C(N)[NH3+],17.49885,23.16599
145,2,NC(N)=CC(N)=N,N=C([NH3+])C=C(N)N,17.49885,24.14041
145,3,NC(N)=CC(N)=N,NC(=[NH2+])C=C(N)N,17.49885,12.48218
146,0,NC(=N)C=C(F)F,N=C([NH3+])C=C(F)F,-67.68971,-68.84246
146,1,NC(=N)C=C(F)F,NC(=[NH2+])C=C(F)F,-67.68971,-79.63712
147,0,CC(C)=CC(N)=O,CC(C)=CC([NH3+])=O,-50.44732,-40.16779
148,0,CC(N)=CC(N)=O,CC([NH3+])=CC(N)=O,-46.33291,-42.40605
148,1,CC(N)=CC(N)=O,CC(N)=CC([NH3+])=O,-46.33291,-29.88231
150,0,NC(N)=CC(N)=O,NC(=O)C=C(N)[NH3+],-41.9927,-35.57356
150,1,NC(N)=CC(N)=O,NC(=O)C=C(N)[NH3+],-41.9927,-35.35478
150,2,NC(N)=CC(N)=O,NC(N)=CC([NH3+])=O,-41.9927,-30.97721
151,0,NC(=O)C=C(F)F,[NH3+]C(=O)C=C(F)F,-124.69839,-122.23354
152,0,CC(N)=CC(O)=O,CC([NH3+])=CC(=O)O,-97.70626,-95.00446
153,0,NC(N)=CC(O)=O,NC([NH3+])=CC(=O)O,-93.38324,-88.24453
153,1,NC(N)=CC(O)=O,NC([NH3+])=CC(=O)O,-93.38324,-88.12665
154,0,CC1(C)CC(N)C1,CC1(C)CC([NH3+])C1,-15.45237,13.43814
155,0,CC1CC(C)(N)C1,CC1CC(C)([NH3+])C1,-16.67755,11.38045
156,0,CC1(N)CC(N)C1,CC1([NH3+])CC(N)C1,-8.22508,20.83992
157,0,CC1(N)CC(O)C1,CC1([NH3+])CC(O)C1,-56.88198,-26.7462
159,0,CC1(O)CC(N)C1,CC1(O)CC([NH3+])C1,-54.13881,-25.40306
160,0,CC1(F)CC(N)C1,CC1(F)CC([NH3+])C1,-55.00811,-27.16862
161,0,NC1CC(F)(F)C1,[NH3+]C1CC(F)(F)C1,-102.30914,-75.57487
162,0,CC1CC(C)(C)N1,CC1CC(C)(C)[NH2+]1,-16.3084,-15.37835
163,0,CN1CC(C)(C)C1,C[NH+]1CC(C)(C)C1,-11.58758,4.12084
164,0,CN1CC(C)(N)C1,C[NH+]1CC(C)(N)C1,-3.95271,10.79502
164,1,CN1CC(C)(N)C1,CN1CC(C)([NH3+])C1,-3.95271,23.24698
165,0,CN1CC(C)(O)C1,C[NH+]1CC(C)(O)C1,-50.10871,-34.48849
166,0,CN1CC(C)(F)C1,C[NH+]1CC(C)(F)C1,-50.17136,-35.7296
